author1_id,author2_id,author1_name,author2_name,author1_rank,author2_rank
MVf7Lq0AAAAJ,nEsOOx8AAAAJ,Albert Chi Shing CHUNG,Dit Yan YEUNG,Professor,Chair Professor
SLgWQLEAAAAJ,YooPxQwAAAAJ,Bo LI,Mordecai Jay GOLIN,Chair Professor,Professor
SLgWQLEAAAAJ,XTlaQMkAAAAJ,Bo LI,Qian ZHANG,Chair Professor,Chair Professor
SLgWQLEAAAAJ,FeJrzPMAAAAJ,Bo LI,Wei WANG,Chair Professor,Associate Professor
EWfpM74AAAAJ,lLMX9hcAAAAJ,Chi Keung TANG,Qifeng CHEN,Professor,Assistant Professor
EWfpM74AAAAJ,0nquEkQAAAAJ,Chi Keung TANG,Siu Wing CHENG,Professor,Professor
DORzgBQAAAAJ,ZMLhZJ8AAAAJ,Chiew Lan TAI,Long QUAN,Professor,Professor
H9zO5eYAAAAJ,YooPxQwAAAAJ,Cunsheng DING,Mordecai Jay GOLIN,Professor,Professor
nEsOOx8AAAAJ,-oTraZ4AAAAJ,Dit Yan YEUNG,James Tin Yau KWOK,Chair Professor,Professor
nEsOOx8AAAAJ,18_xlPUAAAAJ,Dit Yan YEUNG,Nevin Lianwen ZHANG,Chair Professor,Professor
nEsOOx8AAAAJ,lLMX9hcAAAAJ,Dit Yan YEUNG,Qifeng CHEN,Chair Professor,Assistant Professor
nEsOOx8AAAAJ,MdQZ-q8AAAAJ,Dit Yan YEUNG,Yangqiu SONG,Chair Professor,Associate Professor
uiCSOycAAAAJ,-oTraZ4AAAAJ,Gary Shueng Han CHAN,James Tin Yau KWOK,Professor,Professor
uiCSOycAAAAJ,XTlaQMkAAAAJ,Gary Shueng Han CHAN,Qian ZHANG,Professor,Chair Professor
Z_t5DjwAAAAJ,lLMX9hcAAAAJ,Hao CHEN,Qifeng CHEN,Assistant Professor,Assistant Professor
J7a5zGEAAAAJ,SqAsppUAAAAJ,Huamin QU,Qiong LUO,Chair Professor,Professor
J7a5zGEAAAAJ,5RIgb3wAAAAJ,Huamin QU,Shing Chi CHEUNG,Chair Professor,Chair Professor
J7a5zGEAAAAJ,TN0zm80AAAAJ,Huamin QU,Xiaojuan MA,Chair Professor,Associate Head and Associate Professor
J7a5zGEAAAAJ,MdQZ-q8AAAAJ,Huamin QU,Yangqiu SONG,Chair Professor,Associate Professor
-oTraZ4AAAAJ,MdQZ-q8AAAAJ,James Tin Yau KWOK,Yangqiu SONG,Professor,Associate Professor
dWcZPFEAAAAJ,gtglwgYAAAAJ,Ke YI,Lei CHEN,Professor,Chair Professor
dWcZPFEAAAAJ,SqAsppUAAAAJ,Ke YI,Qiong LUO,Professor,Professor
dWcZPFEAAAAJ,0nquEkQAAAAJ,Ke YI,Siu Wing CHENG,Professor,Professor
gtglwgYAAAAJ,kjiwE6IAAAAJ,Lei CHEN,Mo LI,Chair Professor,Professor
gtglwgYAAAAJ,XTlaQMkAAAAJ,Lei CHEN,Qian ZHANG,Chair Professor,Chair Professor
gtglwgYAAAAJ,SqAsppUAAAAJ,Lei CHEN,Qiong LUO,Chair Professor,Professor
gtglwgYAAAAJ,IKgiD0AAAAAJ,Lei CHEN,Raymond Chi Wing WONG,Chair Professor,Professor and Associate Head
gtglwgYAAAAJ,y6m820wAAAAJ,Lei CHEN,Xiaofang ZHOU,Chair Professor,Head and Chair Professor
gtglwgYAAAAJ,MdQZ-q8AAAAJ,Lei CHEN,Yangqiu SONG,Chair Professor,Associate Professor
kjiwE6IAAAAJ,XTlaQMkAAAAJ,Mo LI,Qian ZHANG,Professor,Chair Professor
YooPxQwAAAAJ,0nquEkQAAAAJ,Mordecai Jay GOLIN,Siu Wing CHENG,Professor,Professor
YooPxQwAAAAJ,Azu2w_MAAAAJ,Mordecai Jay GOLIN,Sunil ARYA,Professor,Associate Professor
GIToYFwAAAAJ,SqAsppUAAAAJ,Pedro SANDER,Qiong LUO,Professor,Professor
XTlaQMkAAAAJ,FeJrzPMAAAAJ,Qian ZHANG,Wei WANG,Chair Professor,Associate Professor
SqAsppUAAAAJ,5RIgb3wAAAAJ,Qiong LUO,Shing Chi CHEUNG,Professor,Chair Professor
SqAsppUAAAAJ,TN0zm80AAAAJ,Qiong LUO,Xiaojuan MA,Professor,Associate Head and Associate Professor
5RIgb3wAAAAJ,JE_m2UgAAAAJ,Shing Chi CHEUNG,Sung Hun KIM,Chair Professor,Associate Professor
0nquEkQAAAAJ,Azu2w_MAAAAJ,Siu Wing CHENG,Sunil ARYA,Professor,Associate Professor
NJ6YPT4AAAAJ,MdQZ-q8AAAAJ,Wilfred Siu Hung NG,Yangqiu SONG,Associate Professor,Associate Professor
y6m820wAAAAJ,MdQZ-q8AAAAJ,Xiaofang ZHOU,Yangqiu SONG,Head and Chair Professor,Associate Professor
